ID,loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,num_accts_ever_120_pd,pct_tl_nvr_dlq,application_type,issue_d_month,issue_d_year,earliest_cr_line_month,earliest_cr_line_year,grade,term_months,emp_length_num,credit_age,grade_numeric,fico_score
34835,20000.0,20000.0,36 months,13.56,679.29,4 years,RENT,80000.0,Source Verified,Current,credit_card,IL,16.38,1.0,690.0,694.0,0.0,14.0,0.0,21513.0,50.4,22.0,0.0,0.0,0.0,85.7,Individual,6,2018,3,2009,C,36,4,9,3,692.0
63806,2500.0,2500.0,36 months,12.61,83.77,7 years,MORTGAGE,50000.0,Not Verified,Current,other,NC,27.48,0.0,710.0,714.0,0.0,8.0,0.0,23646.0,73.0,15.0,3.0,0.0,0.0,100.0,Individual,1,2018,6,2009,C,36,7,9,3,712.0
42704,9450.0,9450.0,36 months,12.29,315.19,2 years,MORTGAGE,95000.0,Not Verified,Fully Paid,debt_consolidation,CA,21.46,2.0,690.0,694.0,0.0,16.0,0.0,35843.0,80.2,28.0,2.0,0.0,0.0,89.3,Individual,6,2015,4,1997,C,36,2,18,3,692.0
63396,24000.0,24000.0,60 months,13.99,558.32,7 years,MORTGAGE,67000.0,Source Verified,Fully Paid,debt_consolidation,NV,16.59,0.0,690.0,694.0,1.0,7.0,0.0,15175.0,75.9,16.0,2.0,0.0,0.0,100.0,Individual,5,2015,10,1993,C,60,7,22,3,692.0
62468,16000.0,16000.0,36 months,8.99,508.73,10+ years,MORTGAGE,155000.0,Not Verified,Fully Paid,debt_consolidation,MA,10.36,0.0,670.0,674.0,0.0,6.0,0.0,4914.0,47.7,21.0,2.0,0.0,2.0,71.4,Individual,6,2016,0,1987,B,36,10,29,2,672.0
27284,24000.0,24000.0,60 months,15.05,571.59,< 1 year,MORTGAGE,60000.0,Source Verified,Late (31-120 days),debt_consolidation,SC,34.04,0.0,690.0,694.0,0.0,11.0,0.0,14078.0,71.5,25.0,2.0,0.0,0.0,95.8,Individual,5,2017,1,2003,C,60,0,14,3,692.0
59566,15000.0,15000.0,60 months,22.2,416.0,10+ years,RENT,51200.0,Verified,Charged Off,debt_consolidation,GA,20.87,0.0,685.0,689.0,3.0,13.0,1.0,19281.0,59.5,32.0,0.0,1.0,0.0,100.0,Individual,7,2013,4,1994,E,60,10,19,5,687.0
44760,4325.0,4325.0,36 months,25.8,173.8,5 years,RENT,24000.0,Not Verified,Fully Paid,other,NY,30.55,0.0,665.0,669.0,0.0,7.0,0.0,3661.0,55.5,12.0,0.0,0.0,0.0,100.0,Individual,4,2015,9,2002,G,36,5,13,7,667.0
94447,8000.0,8000.0,36 months,12.74,268.56,2 years,MORTGAGE,50000.0,Not Verified,Fully Paid,credit_card,FL,22.28,0.0,705.0,709.0,1.0,7.0,0.0,28748.0,48.2,23.0,2.0,0.0,0.0,100.0,Individual,11,2016,8,2004,C,36,2,12,3,707.0
90084,30000.0,30000.0,36 months,12.73,1006.93,2 years,RENT,120000.0,Verified,Current,credit_card,CA,14.39,2.0,665.0,669.0,0.0,20.0,0.0,35300.0,50.4,32.0,0.0,0.0,1.0,87.5,Individual,9,2018,7,2000,B,36,2,18,2,667.0
46516,11200.0,11200.0,60 months,14.98,266.33,10+ years,RENT,37000.0,Source Verified,Charged Off,credit_card,OR,15.86,0.0,680.0,684.0,0.0,6.0,0.0,14199.0,74.3,12.0,0.0,0.0,0.0,100.0,Individual,0,2014,9,2001,C,60,10,13,3,682.0
34114,14000.0,14000.0,60 months,8.39,286.49,10+ years,MORTGAGE,165000.0,Source Verified,Current,credit_card,MA,5.78,2.0,715.0,719.0,0.0,14.0,0.0,11062.0,27.3,31.0,3.0,0.0,0.0,83.9,Individual,8,2014,4,1996,A,60,10,18,1,717.0
11841,5500.0,5500.0,36 months,23.5,214.34,6 years,RENT,35000.0,Not Verified,Fully Paid,other,CA,16.83,5.0,690.0,694.0,2.0,4.0,0.0,674.0,27.0,15.0,0.0,0.0,0.0,66.0,Individual,7,2013,7,2006,F,36,6,7,6,692.0
26808,12000.0,12000.0,36 months,9.44,384.06,2 years,MORTGAGE,58000.0,Not Verified,Current,credit_card,TX,25.23,0.0,720.0,724.0,0.0,10.0,0.0,20134.0,49.1,13.0,2.0,0.0,0.0,100.0,Individual,5,2017,3,1977,B,36,2,40,2,722.0
9752,15000.0,15000.0,60 months,13.67,346.47,10+ years,MORTGAGE,68000.0,Not Verified,Current,credit_card,OK,26.19,0.0,720.0,724.0,0.0,12.0,0.0,12056.0,60.9,20.0,1.0,0.0,0.0,100.0,Individual,3,2016,5,1994,C,60,10,22,3,722.0
44467,22000.0,22000.0,36 months,17.14,785.9,10+ years,MORTGAGE,300000.0,Verified,Fully Paid,other,CA,13.46,0.0,690.0,694.0,1.0,12.0,0.0,99054.0,86.5,27.0,1.0,0.0,0.0,100.0,Individual,10,2014,6,1999,D,36,10,15,4,692.0
60673,10000.0,10000.0,36 months,11.99,332.1,2 years,RENT,35000.0,Not Verified,Charged Off,credit_card,AZ,21.78,3.0,660.0,664.0,2.0,9.0,0.0,6314.0,54.0,26.0,3.0,0.0,3.0,76.9,Individual,0,2014,5,1975,B,36,2,39,2,662.0
52290,11400.0,11400.0,60 months,12.74,257.88,< 1 year,RENT,69000.0,Source Verified,Fully Paid,credit_card,AZ,7.1,0.0,675.0,679.0,1.0,12.0,0.0,2557.0,9.5,35.0,0.0,0.0,2.0,88.6,Individual,2,2017,11,1994,C,60,0,23,3,677.0
38894,17000.0,17000.0,60 months,8.18,346.17,9 years,MORTGAGE,145000.0,Not Verified,Current,credit_card,NC,18.08,0.0,765.0,769.0,0.0,17.0,0.0,32095.0,33.4,27.0,5.0,0.0,0.0,100.0,Individual,10,2015,11,1994,B,60,9,21,2,767.0
74180,6400.0,6400.0,36 months,14.33,219.77,10+ years,RENT,45000.0,Not Verified,Fully Paid,debt_consolidation,NY,13.68,1.0,715.0,719.0,2.0,10.0,0.0,6575.0,31.5,27.0,0.0,0.0,0.0,92.0,Individual,1,2013,2,2002,C,36,10,11,3,717.0
60736,10000.0,10000.0,36 months,6.71,307.45,2 years,MORTGAGE,65000.0,Source Verified,Current,debt_consolidation,AL,7.05,1.0,670.0,674.0,0.0,12.0,1.0,9105.0,34.4,36.0,1.0,1.0,0.0,95.2,Individual,2,2018,7,1979,A,36,2,39,1,672.0
57914,8100.0,8100.0,36 months,14.16,277.47,9 years,RENT,41776.0,Source Verified,Fully Paid,credit_card,CA,9.71,0.0,685.0,689.0,0.0,15.0,1.0,8479.0,44.4,25.0,0.0,0.0,0.0,96.0,Individual,3,2014,4,1995,C,36,9,19,3,687.0
49120,12000.0,12000.0,36 months,13.98,410.02,1 year,RENT,45310.0,Verified,Fully Paid,major_purchase,OR,11.76,3.0,695.0,699.0,0.0,7.0,0.0,5255.0,44.9,31.0,0.0,0.0,2.0,83.3,Individual,8,2014,9,2001,C,36,1,13,3,697.0
77683,10000.0,10000.0,36 months,16.02,351.67,2 years,RENT,40000.0,Verified,Current,debt_consolidation,PA,35.79,1.0,660.0,664.0,0.0,16.0,0.0,17898.0,54.9,35.0,0.0,0.0,1.0,88.2,Joint App,5,2017,8,2009,C,36,2,8,3,662.0
14341,22000.0,22000.0,60 months,23.7,629.08,10+ years,RENT,50000.0,Verified,Fully Paid,debt_consolidation,CA,19.66,0.0,670.0,674.0,0.0,13.0,0.0,11218.0,70.1,20.0,0.0,0.0,0.0,100.0,Individual,8,2013,11,2002,F,60,10,11,6,672.0
84030,27000.0,27000.0,60 months,24.37,782.55,9 years,MORTGAGE,67000.0,Source Verified,Fully Paid,debt_consolidation,FL,8.79,1.0,665.0,669.0,1.0,11.0,0.0,19104.0,44.1,17.0,1.0,0.0,0.0,76.5,Individual,8,2018,3,2007,E,60,9,11,5,667.0
59250,12000.0,12000.0,36 months,6.72,369.0,10+ years,RENT,40000.0,Not Verified,Current,debt_consolidation,AL,26.4,0.0,695.0,699.0,0.0,16.0,0.0,15941.0,50.8,23.0,0.0,0.0,1.0,90.5,Joint App,0,2018,3,1996,A,36,10,22,1,697.0
98191,12400.0,12400.0,36 months,15.77,434.55,10+ years,MORTGAGE,75500.0,Source Verified,Fully Paid,debt_consolidation,NV,21.2,0.0,675.0,679.0,0.0,12.0,0.0,19533.0,77.8,20.0,3.0,0.0,2.0,85.0,Individual,0,2016,5,2005,D,36,10,11,4,677.0
72620,21275.0,21275.0,60 months,16.55,523.61,10+ years,MORTGAGE,89000.0,Source Verified,Fully Paid,debt_consolidation,CA,31.41,0.0,695.0,699.0,0.0,13.0,0.0,33863.0,84.2,25.0,2.0,0.0,0.0,100.0,Individual,3,2015,3,2000,D,60,10,15,4,697.0
67627,12500.0,12500.0,36 months,10.56,406.64,2 years,MORTGAGE,89000.0,Not Verified,Current,debt_consolidation,VT,24.91,1.0,740.0,744.0,1.0,30.0,0.0,17041.0,19.5,63.0,2.0,0.0,0.0,93.7,Joint App,4,2018,0,1995,B,36,2,23,2,742.0
55648,7200.0,7200.0,36 months,11.55,237.6,< 1 year,RENT,62000.0,Not Verified,Current,credit_card,OR,20.89,0.0,705.0,709.0,2.0,6.0,0.0,6698.0,51.1,18.0,3.0,0.0,0.0,94.4,Individual,7,2018,0,1989,B,36,0,29,2,707.0
19577,5000.0,5000.0,36 months,14.52,172.16,10+ years,RENT,27000.0,Verified,Charged Off,debt_consolidation,FL,24.44,0.0,665.0,669.0,0.0,7.0,1.0,8372.0,64.4,10.0,0.0,1.0,0.0,100.0,Individual,4,2018,2,2005,C,36,10,13,3,667.0
48603,23000.0,23000.0,36 months,9.49,736.66,6 years,RENT,87000.0,Not Verified,Current,debt_consolidation,NY,15.35,0.0,730.0,734.0,1.0,18.0,0.0,21095.0,27.7,24.0,0.0,0.0,0.0,100.0,Individual,7,2016,6,1990,B,36,6,26,2,732.0
52511,35000.0,35000.0,60 months,19.42,916.03,10+ years,MORTGAGE,90000.0,Not Verified,Charged Off,other,CA,11.49,0.0,705.0,709.0,2.0,12.0,0.0,20170.0,53.1,30.0,3.0,0.0,0.0,100.0,Individual,4,2018,5,1999,D,60,10,19,4,707.0
96453,35000.0,35000.0,36 months,12.99,1179.12,7 years,OWN,135000.0,Verified,Fully Paid,debt_consolidation,IL,34.04,0.0,670.0,674.0,1.0,23.0,0.0,91910.0,77.3,43.0,4.0,0.0,0.0,100.0,Individual,0,2015,2,1986,C,36,7,29,3,672.0
97464,5000.0,5000.0,36 months,10.49,162.49,10+ years,RENT,80000.0,Verified,Current,other,FL,18.47,1.0,675.0,679.0,0.0,13.0,0.0,23660.0,38.3,23.0,0.0,0.0,0.0,95.7,Individual,7,2016,10,2003,B,36,10,13,2,677.0
76294,9600.0,9600.0,36 months,18.25,348.27,3 years,MORTGAGE,30000.0,Not Verified,Fully Paid,credit_card,PA,27.96,0.0,710.0,714.0,1.0,18.0,0.0,48274.0,53.0,47.0,4.0,0.0,0.0,100.0,Individual,1,2016,10,1997,D,36,3,19,4,712.0
57401,15000.0,15000.0,60 months,9.99,318.64,3 years,MORTGAGE,50000.0,Not Verified,Fully Paid,home_improvement,NY,30.29,0.0,795.0,799.0,0.0,11.0,0.0,1892.0,9.5,35.0,2.0,0.0,0.0,100.0,Individual,2,2015,8,2004,B,60,3,11,2,797.0
27185,21800.0,21800.0,60 months,25.99,652.58,1 year,MORTGAGE,52000.0,Verified,Charged Off,debt_consolidation,AZ,26.15,0.0,670.0,674.0,1.0,12.0,1.0,23656.0,58.8,37.0,5.0,1.0,1.0,96.9,Individual,3,2015,1,2003,G,60,1,12,7,672.0
60478,10000.0,10000.0,36 months,11.49,329.72,< 1 year,RENT,36000.0,Source Verified,Fully Paid,small_business,CA,4.9,0.0,660.0,664.0,0.0,6.0,2.0,2889.0,21.1,19.0,0.0,1.0,0.0,92.9,Individual,2,2017,2,2005,B,36,0,12,2,662.0
77812,35000.0,35000.0,36 months,14.99,1213.12,< 1 year,RENT,135000.0,Verified,Current,credit_card,GA,21.0,0.0,665.0,669.0,0.0,15.0,0.0,48267.0,77.4,30.0,3.0,0.0,0.0,93.3,Individual,3,2017,0,1993,C,36,0,24,3,667.0
80957,12000.0,12000.0,36 months,18.99,439.82,10+ years,MORTGAGE,67000.0,Verified,Fully Paid,debt_consolidation,CA,11.64,1.0,665.0,669.0,0.0,17.0,0.0,13213.0,62.6,20.0,2.0,0.0,0.0,95.0,Individual,1,2017,10,1997,D,36,10,20,4,667.0
59910,25000.0,25000.0,60 months,24.84,731.44,2 years,OWN,185000.0,Source Verified,Fully Paid,credit_card,CA,10.04,0.0,675.0,679.0,0.0,17.0,1.0,18421.0,64.9,22.0,2.0,1.0,0.0,100.0,Individual,4,2018,4,2000,E,60,2,18,5,677.0
77681,17550.0,17550.0,36 months,25.99,707.01,8 years,RENT,45000.0,Verified,Charged Off,small_business,TX,33.41,0.0,675.0,679.0,2.0,12.0,1.0,2287.0,49.7,15.0,0.0,1.0,0.0,93.3,Individual,3,2015,11,2003,G,36,8,12,7,677.0
35470,27575.0,27575.0,60 months,19.72,726.28,5 years,MORTGAGE,62000.0,Verified,Fully Paid,debt_consolidation,PA,20.88,0.0,670.0,674.0,0.0,14.0,0.0,17228.0,88.8,25.0,4.0,0.0,0.0,96.0,Individual,4,2013,0,1996,D,60,5,17,4,672.0
14211,25000.0,25000.0,60 months,11.47,549.44,9 years,OWN,103000.0,Verified,Fully Paid,debt_consolidation,CA,9.9,0.0,665.0,669.0,0.0,7.0,1.0,10658.0,62.7,19.0,1.0,1.0,0.0,100.0,Individual,2,2016,5,1991,B,60,9,25,2,667.0
15975,10000.0,10000.0,36 months,12.61,335.07,< 1 year,RENT,25000.0,Verified,Current,credit_card,MD,33.75,0.0,715.0,719.0,0.0,4.0,0.0,7622.0,36.3,4.0,0.0,0.0,0.0,100.0,Individual,2,2018,7,2013,C,36,0,5,3,717.0
71901,10000.0,10000.0,36 months,9.16,318.75,10+ years,RENT,90000.0,Source Verified,Fully Paid,other,CA,7.64,0.0,660.0,664.0,3.0,12.0,0.0,4122.0,24.1,36.0,0.0,0.0,10.0,72.2,Individual,1,2016,8,1998,B,36,10,18,2,662.0
8655,7300.0,7300.0,36 months,8.19,229.4,10+ years,MORTGAGE,45000.0,Not Verified,Fully Paid,debt_consolidation,FL,26.8,0.0,685.0,689.0,0.0,20.0,0.0,18958.0,56.4,33.0,5.0,0.0,0.0,97.0,Individual,10,2014,8,1992,A,36,10,22,1,687.0
47546,10000.0,10000.0,36 months,7.84,312.63,10+ years,MORTGAGE,65000.0,Source Verified,Current,debt_consolidation,CA,8.73,0.0,705.0,709.0,1.0,9.0,0.0,7458.0,30.4,19.0,2.0,0.0,0.0,68.8,Individual,7,2018,7,1997,A,36,10,21,1,707.0
85866,40000.0,40000.0,36 months,9.44,1280.2,2 years,MORTGAGE,110000.0,Verified,Current,debt_consolidation,KY,18.26,0.0,750.0,754.0,1.0,16.0,0.0,35526.0,46.3,37.0,4.0,0.0,0.0,97.3,Individual,7,2017,9,1984,B,36,2,33,2,752.0
10568,24000.0,24000.0,36 months,14.08,821.2,6 years,OWN,60000.0,Verified,Current,debt_consolidation,NY,31.5,0.0,680.0,684.0,0.0,15.0,0.0,13174.0,43.9,19.0,0.0,0.0,0.0,89.5,Joint App,7,2017,2,2008,C,36,6,9,3,682.0
2654,15000.0,15000.0,36 months,7.21,464.6,10+ years,RENT,60000.0,Not Verified,Current,medical,CA,20.22,0.0,745.0,749.0,0.0,20.0,0.0,9898.0,18.9,37.0,0.0,0.0,0.0,94.4,Individual,8,2018,5,1997,A,36,10,21,1,747.0
79620,15000.0,15000.0,60 months,18.99,389.03,2 years,RENT,95000.0,Source Verified,Fully Paid,major_purchase,CO,19.68,0.0,665.0,669.0,2.0,9.0,0.0,6246.0,55.8,13.0,0.0,0.0,2.0,84.6,Individual,11,2015,8,2006,E,60,2,9,5,667.0
55716,5600.0,5600.0,36 months,17.77,201.81,< 1 year,RENT,40000.0,Not Verified,Charged Off,debt_consolidation,NY,19.34,2.0,675.0,679.0,1.0,23.0,0.0,7253.0,27.0,26.0,0.0,0.0,0.0,92.0,Individual,0,2013,9,2006,D,36,0,7,4,677.0
28471,4500.0,4500.0,36 months,7.21,139.38,4 years,RENT,55000.0,Not Verified,Current,car,NV,16.58,0.0,765.0,769.0,0.0,6.0,0.0,2009.0,24.2,11.0,0.0,0.0,0.0,100.0,Individual,5,2017,11,2007,A,36,4,10,1,767.0
90441,12450.0,12450.0,36 months,20.0,462.69,2 years,RENT,42500.0,Not Verified,Current,debt_consolidation,FL,18.16,0.0,680.0,684.0,1.0,22.0,0.0,11943.0,36.9,25.0,0.0,0.0,0.0,100.0,Individual,8,2017,2,2007,D,36,2,10,4,682.0
28226,6500.0,6500.0,36 months,15.05,225.49,5 years,RENT,24000.0,Source Verified,Current,car,IN,5.5,0.0,690.0,694.0,0.0,16.0,0.0,3383.0,48.3,29.0,0.0,0.0,0.0,78.6,Individual,7,2017,8,2005,C,36,5,12,3,692.0
38653,1000.0,1000.0,36 months,11.47,32.97,3 years,MORTGAGE,57500.0,Source Verified,Fully Paid,credit_card,NC,17.37,0.0,685.0,689.0,1.0,15.0,0.0,7743.0,93.3,17.0,0.0,0.0,0.0,100.0,Individual,3,2016,7,2006,B,36,3,10,2,687.0
48629,22500.0,22500.0,60 months,13.58,518.65,10+ years,MORTGAGE,240000.0,Source Verified,Current,debt_consolidation,MD,11.55,0.0,720.0,724.0,0.0,10.0,0.0,29694.0,60.0,30.0,7.0,0.0,0.0,100.0,Individual,2,2018,8,1999,C,60,10,19,3,722.0
8826,20000.0,20000.0,36 months,7.12,618.64,3 years,RENT,126000.0,Source Verified,Fully Paid,debt_consolidation,MA,5.23,0.0,735.0,739.0,1.0,9.0,0.0,1819.0,2.6,37.0,2.0,0.0,1.0,97.2,Individual,5,2014,11,1996,A,36,3,18,1,737.0
41879,28000.0,28000.0,60 months,19.53,734.53,5 years,RENT,69000.0,Not Verified,Current,debt_consolidation,TX,21.08,0.0,670.0,674.0,2.0,12.0,1.0,15719.0,48.7,18.0,1.0,1.0,0.0,100.0,Individual,2,2016,11,1993,D,60,5,23,4,672.0
81217,24950.0,24950.0,36 months,6.67,766.63,1 year,MORTGAGE,200000.0,Source Verified,Current,credit_card,LA,13.86,0.0,835.0,839.0,0.0,9.0,0.0,22841.0,27.5,22.0,3.0,0.0,0.0,100.0,Individual,10,2018,5,1991,A,36,1,27,1,837.0
11053,7500.0,7500.0,36 months,18.24,272.05,10+ years,MORTGAGE,48000.0,Verified,Fully Paid,debt_consolidation,NY,26.83,3.0,665.0,669.0,0.0,14.0,0.0,8858.0,39.5,21.0,2.0,0.0,0.0,81.0,Individual,10,2014,6,1995,D,36,10,19,4,667.0
70063,6000.0,6000.0,36 months,12.49,200.7,1 year,MORTGAGE,57000.0,Not Verified,Fully Paid,debt_consolidation,MN,1.73,0.0,660.0,664.0,0.0,17.0,0.0,5314.0,87.1,31.0,2.0,0.0,7.0,74.2,Individual,4,2014,7,2005,B,36,1,9,2,662.0
81617,3900.0,3900.0,36 months,9.16,124.31,6 years,MORTGAGE,57559.0,Verified,Charged Off,debt_consolidation,TX,19.39,1.0,670.0,674.0,0.0,10.0,0.0,9675.0,73.3,16.0,1.0,0.0,0.0,93.7,Individual,1,2016,1,2005,B,36,6,11,2,672.0
8037,10000.0,10000.0,36 months,19.72,370.22,10+ years,RENT,60000.0,Verified,Fully Paid,vacation,NY,10.88,0.0,695.0,699.0,3.0,6.0,0.0,5554.0,62.4,13.0,0.0,0.0,0.0,100.0,Individual,5,2013,0,2002,D,36,10,11,4,697.0
28311,11200.0,11200.0,60 months,26.31,337.4,< 1 year,MORTGAGE,78000.0,Not Verified,Current,credit_card,MD,27.85,0.0,735.0,739.0,0.0,10.0,0.0,22448.0,76.4,19.0,0.0,0.0,0.0,100.0,Individual,9,2018,10,1996,E,60,0,22,5,737.0
3352,30000.0,30000.0,36 months,7.21,929.2,8 years,MORTGAGE,140000.0,Source Verified,Current,credit_card,CA,11.38,0.0,725.0,729.0,0.0,8.0,0.0,36370.0,62.4,33.0,1.0,0.0,0.0,100.0,Individual,8,2018,2,1998,A,36,8,20,1,727.0
42459,10000.0,10000.0,60 months,26.24,300.83,10+ years,MORTGAGE,41600.0,Verified,Fully Paid,debt_consolidation,NY,28.27,0.0,690.0,694.0,0.0,6.0,0.0,6876.0,47.4,12.0,1.0,0.0,0.0,83.3,Individual,10,2016,10,1997,E,60,10,19,5,692.0
25758,12000.0,12000.0,60 months,19.03,311.49,5 years,RENT,230000.0,Source Verified,Current,other,TX,3.34,0.0,695.0,699.0,0.0,8.0,0.0,21722.0,67.0,20.0,0.0,0.0,0.0,100.0,Individual,7,2017,5,2005,D,60,5,12,4,697.0
76661,2000.0,2000.0,36 months,6.62,61.41,3 years,RENT,20000.0,Verified,Fully Paid,debt_consolidation,NY,17.04,0.0,720.0,724.0,0.0,13.0,0.0,1079.0,7.5,23.0,0.0,0.0,0.0,91.0,Individual,4,2013,11,2002,A,36,3,11,1,722.0
1760,7350.0,7350.0,36 months,7.49,228.6,< 1 year,MORTGAGE,25000.0,Source Verified,Current,debt_consolidation,PA,27.32,0.0,785.0,789.0,0.0,12.0,0.0,1777.0,17.3,26.0,2.0,0.0,0.0,100.0,Joint App,3,2017,8,2006,A,36,0,11,1,787.0
31371,23000.0,23000.0,60 months,15.59,554.32,10+ years,MORTGAGE,72000.0,Source Verified,Fully Paid,debt_consolidation,TX,16.42,0.0,710.0,714.0,1.0,6.0,0.0,12349.0,70.2,24.0,1.0,0.0,0.0,100.0,Individual,0,2015,4,2001,D,60,10,14,4,712.0
99903,30000.0,30000.0,36 months,6.67,921.8,10+ years,MORTGAGE,84000.0,Verified,Current,debt_consolidation,CA,10.6,0.0,780.0,784.0,0.0,13.0,0.0,23578.0,24.4,28.0,2.0,0.0,0.0,100.0,Individual,6,2018,9,1987,A,36,10,31,1,782.0
71744,13625.0,13625.0,36 months,16.99,485.71,10+ years,MORTGAGE,99000.0,Not Verified,Fully Paid,credit_card,MI,26.84,4.0,660.0,664.0,1.0,10.0,0.0,14493.0,62.5,26.0,4.0,0.0,2.0,81.0,Individual,2,2015,9,1993,D,36,10,22,4,662.0
18506,4000.0,4000.0,36 months,11.44,131.79,2 years,MORTGAGE,70000.0,Source Verified,Current,other,NV,29.49,0.0,700.0,704.0,1.0,11.0,0.0,10796.0,61.0,44.0,3.0,0.0,1.0,97.7,Individual,11,2016,8,2005,B,36,2,11,2,702.0
41146,8000.0,8000.0,36 months,9.99,258.1,10+ years,RENT,34000.0,Verified,Fully Paid,small_business,NY,26.06,0.0,730.0,734.0,0.0,17.0,0.0,15365.0,24.2,29.0,0.0,0.0,0.0,100.0,Individual,2,2015,2,1989,B,36,10,26,2,732.0
64006,6000.0,6000.0,36 months,15.31,208.91,< 1 year,RENT,44000.0,Not Verified,Fully Paid,credit_card,TX,26.29,0.0,700.0,704.0,1.0,18.0,0.0,6851.0,47.9,26.0,0.0,0.0,0.0,100.0,Individual,3,2013,9,2002,C,36,0,11,3,702.0
32264,5000.0,5000.0,36 months,9.17,159.4,10+ years,MORTGAGE,52000.0,Not Verified,Fully Paid,debt_consolidation,OK,18.28,1.0,660.0,664.0,0.0,9.0,1.0,11058.0,78.4,11.0,1.0,1.0,1.0,81.8,Individual,1,2015,11,2006,B,36,10,9,2,662.0
87183,16000.0,16000.0,36 months,16.14,563.62,7 years,OWN,85000.0,Not Verified,Current,debt_consolidation,MD,16.72,0.0,680.0,684.0,0.0,9.0,0.0,12846.0,82.9,18.0,1.0,0.0,0.0,100.0,Individual,10,2018,5,2009,C,36,7,9,3,682.0
46713,15000.0,15000.0,36 months,16.02,527.51,2 years,RENT,40000.0,Source Verified,Current,debt_consolidation,CA,25.47,0.0,685.0,689.0,0.0,18.0,0.0,11778.0,54.5,23.0,0.0,0.0,0.0,100.0,Individual,6,2017,10,2005,C,36,2,12,3,687.0
